DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY
"Mar 17, 2005",Thursday,55,38,42,30,46,118,222,371,476,669,828,953,981,1073,1100,1094,1182,977,778,562,439,313,131,121,12599,110,False,North,110,St Louis
"Mar 18, 2005",Friday,64,38,35,27,35,114,208,369,455,656,872,968,1125,1129,1151,1193,1208,1034,816,660,518,377,229,157,13438,110,False,North,110,St Louis
"Mar 19, 2005",Saturday,81,51,42,34,25,72,164,183,350,620,891,1124,1291,1279,1387,1269,1127,891,819,616,414,297,190,124,13341,110,False,North,110,St Louis
"Mar 20, 2005",Sunday,87,49,38,29,33,36,139,134,224,356,629,864,1030,1004,1038,964,818,656,561,367,262,137,94,74,9623,110,False,North,110,St Louis
"Mar 21, 2005",Monday,31,33,26,20,37,114,172,376,439,637,800,973,1114,1096,1124,1142,1159,1100,723,512,396,235,132,74,12465,110,False,North,110,St Louis
"Mar 22, 2005",Tuesday,53,23,19,25,40,120,204,397,497,640,857,986,1096,1081,1073,1205,1240,1084,843,593,436,278,151,94,13035,110,False,North,110,St Louis
"Mar 23, 2005",Wednesday,41,33,32,16,38,120,202,390,484,640,803,997,1129,1070,1089,1120,1193,1139,840,592,478,278,160,85,12969,110,False,North,110,St Louis
"Mar 24, 2005",Thursday,64,42,52,15,39,119,204,386,492,702,839,1025,1108,1140,1167,1259,1274,1055,826,657,566,407,199,104,13741,110,False,North,110,St Louis
"Mar 25, 2005",Friday,69,33,43,32,37,71,180,341,512,767,1138,1344,1441,1375,1516,1547,1390,1175,939,674,550,383,334,154,16045,110,False,North,110,St Louis
"Mar 26, 2005",Saturday,76,49,52,31,31,39,100,183,401,714,997,1165,1246,1243,1229,1229,1169,886,763,640,397,291,273,142,13346,110,False,North,110,St Louis
"Mar 27, 2005",Sunday,69,53,40,30,24,26,65,109,191,231,373,492,571,457,439,417,390,319,323,248,169,142,90,80,5348,110,False,North,110,St Louis
"Mar 28, 2005",Monday,33,21,20,18,49,100,186,342,463,704,849,1018,1131,1145,1147,1255,1292,1119,843,607,462,285,142,109,13340,110,False,North,110,St Louis
"Mar 29, 2005",Tuesday,51,25,30,18,47,104,186,405,501,669,783,989,1176,1051,1068,1164,1212,1056,832,615,502,275,148,86,12993,110,False,North,110,St Louis
"Mar 30, 2005",Wednesday,51,33,33,25,40,113,185,410,534,677,886,960,1102,1085,1033,1071,1171,1054,817,580,441,281,147,82,12811,110,False,North,110,St Louis
"Mar 31, 2005",Thursday,57,28,42,15,40,114,193,396,481,698,800,989,1068,1036,1115,1192,1251,1137,832,643,511,338,149,111,13236,110,False,North,110,St Louis
"Mar 1, 2005",Tuesday,55,30,24,25,32,132,358,710,571,692,717,882,929,948,948,943,990,952,743,530,441,391,171,115,12329,110,False,South,110,St Louis
"Mar 2, 2005",Wednesday,57,28,15,23,33,113,342,742,587,658,769,826,929,916,970,944,1020,949,816,570,420,334,215,128,12404,110,False,South,110,St Louis
"Mar 3, 2005",Thursday,45,20,36,22,32,126,325,692,597,667,771,915,908,937,933,959,1014,990,828,617,485,352,187,147,12605,110,False,South,110,St Louis
"Mar 4, 2005",Friday,63,36,31,21,38,116,332,661,613,722,826,1000,1091,1114,1040,1141,1107,1107,937,684,492,465,269,218,14124,110,False,South,110,St Louis
"Mar 5, 2005",Saturday,99,54,36,25,28,45,119,165,303,589,803,1007,1098,1121,1180,1269,1215,1052,850,690,440,369,225,219,13001,110,False,South,110,St Louis
"Mar 6, 2005",Sunday,95,65,31,20,21,36,89,101,186,367,560,768,863,994,988,1061,928,724,556,372,284,219,129,69,9526,110,False,South,110,St Louis
"Mar 7, 2005",Monday,58,26,15,19,45,120,326,709,597,625,713,770,876,962,926,944,964,905,693,496,419,329,162,100,11799,110,False,South,110,St Louis
"Mar 8, 2005",Tuesday,66,34,19,28,46,107,349,703,610,683,760,912,963,904,940,932,941,903,746,548,408,336,185,129,12252,110,False,South,110,St Louis
"Mar 9, 2005",Wednesday,63,33,18,18,37,113,343,728,641,683,743,894,985,911,940,977,1024,910,734,550,445,342,190,124,12446,110,False,South,110,St Louis
"Mar 10, 2005",Thursday,61,25,25,29,46,117,345,722,558,576,648,726,753,764,786,850,881,851,671,555,407,377,181,124,11078,110,False,South,110,St Louis
